src,dst,edge_type,edge_source
TUR10-0000000,TUR10-0379560,HYPERNYM,SR
TUR10-0000003,TUR10-0869550,HYPERNYM,SR
TUR10-0000004,TUR10-0747200,HYPERNYM,SR
TUR10-0000006,TUR10-0579300,HYPERNYM,SR
TUR10-0000007,TUR10-0844140,HYPERNYM,SR
TUR10-0000010,TUR10-0008070,HYPERNYM,SR
TUR10-0000011,TUR10-0684420,HYPERNYM,SR
TUR10-0000013,TUR10-0079390,HYPERNYM,SR
TUR10-0000015,TUR10-0444660,HYPERNYM,SR
TUR10-0000018,TUR10-0212060,HYPERNYM,SR
TUR10-0000020,TUR10-0292910,HYPERNYM,SR
TUR10-0000030,TUR10-0516740,HYPONYM,SR
TUR10-0000030,TUR10-0678180,HYPONYM,SR
TUR10-0000030,TUR10-0070540,HYPONYM,SR
TUR10-0000030,TUR10-0418320,HYPONYM,SR
TUR10-0000030,TUR10-0514560,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-1020010,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-0991540,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-0940860,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-0122950,HYPONYM,SR
TUR10-0000030,TUR10-0194450,HYPONYM,SR
TUR10-0000030,TUR10-0878120,HYPONYM,SR
TUR10-0000030,TUR10-1241350,HYPONYM,SR
TUR10-0000030,TUR10-0530340,HYPERNYM,SR
TUR10-0000030,TUR10-1239720,HYPERNYM,SR
TUR10-0000030,TUR10-0583740,SUBSTANCE_MERONYM,SR
TUR10-0000030,TUR10-1042360,SUBSTANCE_MERONYM,SR
TUR10-0000030,TUR10-0126630,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-0310130,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-0766370,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-1230060,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-1233400,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-1233410,SUBSTANCE_HOLONYM,SR
TUR10-0000030,TUR10-0013110,HYPONYM,SR
TUR10-0000030,TUR10-0629280,HYPONYM,SR
TUR10-0000030,TUR10-0498990,HYPONYM,SR
TUR10-0000030,TUR10-0393820,HYPONYM,SR
TUR10-0000030,TUR10-0446630,HYPONYM,SR
TUR10-0000030,TUR10-0476730,HYPONYM,SR
TUR10-0000030,TUR10-0462630,HYPONYM,SR
TUR10-0000030,TUR10-0981990,HYPONYM,SR
TUR10-0000030,TUR10-1253790,HYPONYM,SR
TUR10-0000030,TUR10-1125680,HYPONYM,SR
TUR10-0000030,TUR10-0863040,HYPONYM,SR
TUR10-0000030,TUR10-0849970,HYPONYM,SR
TUR10-0000030,TUR10-0079110,HYPONYM,SR
TUR10-0000030,TUR10-0429590,HYPONYM,SR
TUR10-0000030,TUR10-0434300,HYPONYM,SR
TUR10-0000030,TUR10-0534110,HYPONYM,SR
TUR10-0000030,TUR10-0570460,HYPONYM,SR
TUR10-0000030,TUR10-0588210,HYPONYM,SR
TUR10-0000030,TUR10-0680300,HYPONYM,SR
TUR10-0000030,TUR10-0711240,HYPONYM,SR
TUR10-0000030,TUR10-0347760,HYPONYM,SR
TUR10-0000030,TUR10-0001100,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0092990,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0027270,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0030880,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0095410,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0105670,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0131320,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0343940,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0344210,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0466470,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0491660,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0514430,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0516740,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0608250,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0657440,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710090,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710160,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710170,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710430,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710580,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710600,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710820,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0710940,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0711360,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0711370,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0711400,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0711440,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712000,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712240,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712250,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712870,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712880,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712940,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0712950,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0713950,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714030,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714070,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714080,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714160,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714180,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714220,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714250,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0714350,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0770000,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-1142010,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-1197810,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-1253790,DERIVATION_RELATED,SR
TUR10-0000030,TUR10-0657445,DERIVATION_RELATED,SR
TUR10-0000030,ENG31-14869913-n,SYNONYM,ILR
TUR10-0000040,TUR10-0177390,ANTONYM,SR
TUR10-0000040,TUR10-1232030,HYPERNYM,SR
TUR10-0000040,TUR10-1232620,HYPONYM,SR
TUR10-0000040,TUR10-0339080,DERIVATION_RELATED,SR
TUR10-0000040,TUR10-0419140,DERIVATION_RELATED,SR
TUR10-0000040,TUR10-0419150,DERIVATION_RELATED,SR
